path_in_zip,kind,bytes,sha256,parsed
results/cogact_base_simplerenv_bridge/action_repeat2/episodes.jsonl,episodes.jsonl,107624,0e7e78ec2c296847a02cf514b1be704efe468f84e811092038161beac02dc873,records=200
results/cogact_base_simplerenv_bridge/action_repeat2/summary.json,summary.json,3358,8ababbf79aaa6e12ce3067dde49e98bb8ae82e1dfdc7f9cf69dad2c32644f9b5,"status=completed,episodes=200"
results/cogact_base_simplerenv_bridge/action_repeat4/episodes.jsonl,episodes.jsonl,107637,7ed5a831cda41bdc3f6fe72bafdde022d1fb860cb3bc11771682afb4ac96c51f,records=200
results/cogact_base_simplerenv_bridge/action_repeat4/summary.json,summary.json,3358,4e6ee478ff4f59720f4597a4c49fefe16007103a079b573ab536567b78d4e59d,"status=completed,episodes=200"
results/cogact_base_simplerenv_bridge/depth_pruning1/episodes.jsonl,episodes.jsonl,107542,fc79a2cd2fc8889488716d1030184358383362fe6d39333b838968c3e593148e,records=200
results/cogact_base_simplerenv_bridge/depth_pruning1/summary.json,summary.json,4270,b8aed66d75aa5c35e9c7ba1bfb3482593cea36496fc08601b75663686297913f,"status=completed,episodes=200"
results/cogact_base_simplerenv_bridge/depth_pruning2/episodes.jsonl,episodes.jsonl,107561,b6e50c8e721373b2e99f5e6fdb4c2f3c44135c7143f8aabce92ef1c07c9c360e,records=200
results/cogact_base_simplerenv_bridge/depth_pruning2/summary.json,summary.json,4278,480dd686a471f0cf87591540ce29fbe6c8a24e016774854b0930d936da9cbe07,"status=completed,episodes=200"
results/cogact_base_simplerenv_bridge/depth_pruning4/episodes.jsonl,episodes.jsonl,107553,8a4c11ebf3544d9e2b0b50c8c91e572d61bc2479f461ffaff79c066fbee8ba14,records=200
results/cogact_base_simplerenv_bridge/depth_pruning4/summary.json,summary.json,4297,5bae5d4dae8c21ec6a75d684b09243f415a28dc0fef38b0267b19377407792d9,"status=completed,episodes=200"
results/cogact_base_simplerenv_bridge/fixed_foveation_keep20/episodes.jsonl,episodes.jsonl,109535,e05c3114c03abfb04d31cd160e33a482a620189233f0b1f59a0199ded7cb560f,records=200
results/cogact_base_simplerenv_bridge/fixed_foveation_keep20/summary.json,summary.json,3386,bb965d325ed01dca837c24ccc6444ad693cc6f2709bde4338146b8883c942a02,"status=completed,episodes=200"
results/cogact_base_simplerenv_bridge/fixed_foveation_keep50/episodes.jsonl,episodes.jsonl,109698,73ad6fdd74e1c84bf2f935d07522667aaf44f4c4e1b586b510c398a43d3a3b54,records=200
